Genotype,Dish_Number,Date,Day_of,file,X,mean_grey,sd_grey,mean_area,sd_area,mean_perimeter,sd_perimeter,mean_major,sd_major,mean_minor,sd_minor,mean_ar,sd_ar,sd_turning,duration,N_frames,max_net,net_disp,net_speed,gross_disp,gross_speed,max_step,min_step,sd_step,sd_gross_speed,max_gross_speed,min_gross_speed,mean_turning
G56,38,11_8_2022,7,G56_38_11_8_2022,34,81.168368,8.377892701,8695.048722,2857.33218,417.7456815,91.90770337,172.4877163,41.07035158,62.20248459,12.27632467,2.840642202,0.705741312,0.514117647,9.810457516,148.2941176,6815.514118,5515.294118,652.6664706,16584.76235,1717.578824,1576.38,19.57058824,151.9770588,615.2805882,4399.961176,313.61,0.013529412
G56,38,11_9_2022,8,G56_38_11_9_2022,123,83.21104313,6.950020524,7559.028434,2711.191258,395.9544125,91.75229454,162.7041967,38.88681543,57.35845571,12.0782016,2.884725874,0.656783641,0.507777778,10.69753086,155,8252.098889,6605.111111,717.0633333,23401.12222,2181.485556,2379.141111,25.81888889,242.8344444,708.6866667,5270.871111,287.0688889,3.84741187597287e-19
G56,38,11_12_2022,11,G56_38_11_12_2022,126,66.1513644,5.383638527,7216.827007,2682.291261,386.1415069,98.88462343,160.0095424,42.58987694,55.21438483,13.06004465,2.968641377,0.810547005,0.698823529,9.970588235,147.0588235,5354.941176,4333.235294,456.0235294,14011.66118,1415.755882,2081.460588,4.216470588,213.6841176,824.8770588,4557.256471,75.21882353,0.009411765
G56,38,11_14_2022,13,G56_38_11_14_2022,109,67.32997113,4.42738965,5772.714768,2126.548577,342.3791772,83.46175348,142.0439186,35.32218612,49.61339227,11.58336795,2.930415952,0.728354052,0.575238095,10.35714286,158.9047619,5301.037143,4192.285714,491.0304762,13263.19762,1330.380476,1492.122857,6.804761905,165.6414286,632.3619048,4134.60619,121.9980952,0.016190476
G56,38,11_18_2022,17,G56_38_11_18_2022,44,71.16229758,2.945665076,6793.406063,2682.195375,368.1661841,86.67877329,153.5985921,37.77961257,52.67659051,12.48574132,2.954671235,0.620883597,0.45,11.62745098,191.5294118,6390.931765,4674.176471,498.3358824,18763.72353,1682.055294,988.9847059,17.92,89.20941176,533.9547059,4056.991765,221.7182353,-0.001176471
G56,38,11_21_2022,20,G56_38_11_21_2022,48,68.32812078,4.170612495,8137.644778,2894.666447,406.2004275,96.31045193,168.0209464,42.02058783,59.47590984,13.02760073,2.892792426,0.721910243,0.581904762,12.16666667,197.5238095,6481.169048,5549.619048,505.6747619,18006.51952,1453.112857,987.767619,4.379047619,96.12761905,767.2395238,4160.700476,77.8152381,-0.001904762
G56,38,11_23_2022,22,G56_38_11_23_2022,50,66.94178103,5.067210877,7441.462266,2560.432584,393.8220082,88.87181378,164.7811119,38.48037133,55.21766851,12.10471945,3.069997448,0.734399104,0.531176471,10.93464052,172.4705882,7045.103529,5599.705882,611.9688235,16147.30824,1485.144706,1362.528824,10.05882353,127.5470588,688.3123529,4636.334706,177.3711765,0.004117647
G33,39,11_1_2022,0,NA,NA,92.25591101,4.421332291,13407.49041,2999.740378,496.2549099,82.94758307,198.2031532,36.80510195,84.95497174,11.55197985,2.368337633,0.482513694,0.481153846,10.77991453,185.8076923,4910.333077,3704.769231,406.505,11848.05731,1099.099615,762.9096154,5.355,65.47730769,445.3057692,3609.729615,96.23538462,0.009230769
G33,39,11_2_2022,1,G33_39_11_2_2022,63,80.11583547,8.015898287,8570.793166,2754.997111,427.5017439,92.63926399,178.6148184,39.95938466,59.32651407,11.87382326,3.10559965,0.742951342,0.572173913,8.888888889,142.5652174,6396.103913,5225.173913,632.9521739,14500.0513,1643.738696,1160.764348,9.553043478,120.8113043,759.2873913,3884.342609,138.043913,-0.005652174
G33,39,11_4_2022,3,G33_39_11_4_2022,69.5,88.18380856,4.247126976,9037.78707,2479.191633,432.558272,86.71481032,177.7272548,37.02734448,63.59455103,12.07334233,2.87084174,0.673342125,0.5275,10.49166667,165.3,4513.9495,3686.3,393.9525,10617.2015,1008.604,942.183,4.876,88.5065,482.167,3742.5775,86.928,-0.0085
